"state","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959"
"ALASKA",135000,158000,189000,205000,215000,222000,224000,231000,224000,224000
"ALABAMA",3058000,3059000,3068000,3053000,3014000,3050000,3071000,3109000,3163000,3204000
"ARKANSAS",1908000,1901000,1838000,1780000,1734000,1725000,1704000,1733000,1726000,1756000
"ARIZONA",756000,785000,842000,894000,933000,987000,1053000,1125000,1193000,1261000
"CALIFORNIA",10677000,11134000,11635000,12251000,12746000,13133000,13713000,14264000,14880000,15467000
"COLORADO",1325000,1326000,1365000,1431000,1493000,1546000,1625000,1664000,1667000,1710000
"CONNECTICUT",2016000,2028000,2081000,2168000,2249000,2300000,2316000,2359000,2446000,2523000
"DISTRICT OF COLUMBIA",806000,808000,805000,810000,791000,785000,759000,763000,757000,761000
"DELAWARE",321000,331000,341000,351000,368000,389000,408000,426000,433000,441000
"FLORIDA",2810000,2980000,3157000,3310000,3505000,3747000,4047000,4372000,4630000,4808000
"GEORGIA",3458000,3531000,3584000,3558000,3602000,3636000,3701000,3766000,3804000,3868000
"HAWAII",498000,514000,517000,510000,505000,539000,559000,584000,605000,622000
"IOWA",2625000,2617000,2626000,2629000,2626000,2679000,2703000,2716000,2708000,2729000
"IDAHO",590000,589000,587000,596000,6e+05,618000,628000,642000,646000,657000
"ILLINOIS",8738000,8790000,8956000,9065000,9252000,9435000,9530000,9668000,9886000,9986000
"INDIANA",3967000,4096000,4148000,4182000,4264000,4363000,4458000,4529000,4583000,4613000
"KANSAS",1916000,1950000,1977000,1994000,2042000,2093000,2119000,2128000,2142000,2160000
"KENTUCKY",2936000,2941000,2920000,2903000,2902000,2910000,2898000,2928000,2961000,2999000
"LOUISIANA",2697000,2769000,2842000,2866000,2883000,2946000,3032000,3115000,3155000,3208000
"MASSACHUSETTS",4686000,4654000,4650000,4806000,4910000,4882000,4891000,4929000,5010000,5117000
"MARYLAND",2355000,2441000,2500000,2567000,2685000,2742000,2811000,2873000,2982000,3066000
"MAINE",917000,916000,915000,913000,927000,934000,938000,943000,944000,957000
"MICHIGAN",6407000,6497000,6650000,6822000,7066000,7285000,7467000,7569000,7667000,7767000
"MINNESOTA",2997000,3010000,3030000,3050000,3113000,3172000,3240000,3274000,3313000,3366000
"MISSOURI",3964000,4015000,3972000,4020000,4066000,4134000,4163000,4189000,4186000,4258000
"MISSISSIPPI",2176000,2163000,2152000,2105000,2064000,2060000,2086000,2088000,2086000,2138000
"MONTANA",593000,596000,602000,616000,624000,636000,656000,667000,666000,669000
"NORTH CAROLINA",4068000,4120000,4109000,4120000,4131000,4242000,4309000,4368000,4376000,4458000
"NORTH DAKOTA",619000,604000,608000,609000,611000,615000,613000,612000,606000,618000
"NEBRASKA",1327000,1316000,1311000,1318000,1340000,1374000,1397000,1394000,1383000,1397000
"NEW HAMPSHIRE",532000,529000,535000,547000,554000,557000,566000,572000,581000,596000
"NEW JERSEY",4872000,5006000,5125000,5229000,5360000,5502000,5615000,5737000,5890000,6015000
"NEW MEXICO",689000,717000,735000,756000,763000,785000,806000,847000,886000,919000
"NEVADA",162000,168000,181000,195000,213000,237000,250000,260000,269000,279000
"NEW YORK",14865000,14890000,15192000,15527000,15814000,15966000,16112000,16374000,16601000,16685000
"OHIO",7980000,8061000,8275000,8591000,8873000,9017000,9207000,9410000,9599000,9671000
"OKLAHOMA",2229000,2210000,2219000,2182000,2209000,2250000,2273000,2282000,2267000,2289000
"OREGON",1532000,1556000,1582000,1601000,1626000,1659000,1698000,1712000,1718000,1746000
"PENNSYLVANIA",10507000,10461000,10503000,10662000,10817000,10939000,10972000,10954000,11058000,11234000
"RHODE ISLAND",786000,784000,802000,815000,816000,823000,840000,851000,858000,857000
"SOUTH CAROLINA",2113000,2167000,2178000,2181000,2176000,2200000,2229000,2274000,2304000,2348000
"SOUTH DAKOTA",655000,655000,651000,648000,655000,663000,670000,666000,656000,667000
"TENNESSEE",3315000,3372000,3352000,3319000,3359000,3415000,3415000,3434000,3471000,3522000
"TEXAS",7776000,8111000,8314000,8336000,8382000,8660000,8830000,9070000,9252000,9405000
"UTAH",696000,706000,724000,739000,750000,783000,809000,826000,845000,870000
"VIRGINIA",3315000,3434000,3504000,3557000,3555000,3588000,3722000,3844000,3914000,3951000
"VERMONT",379000,378000,375000,379000,377000,375000,377000,376000,380000,387000
"WASHINGTON",2387000,2424000,2448000,2466000,2516000,2604000,2668000,2724000,2773000,2821000
"WISCONSIN",3438000,3439000,3469000,3506000,3608000,3679000,3742000,3791000,3843000,3891000
"WEST VIRGINIA",2006000,1984000,1957000,1929000,1905000,1880000,1857000,1843000,1845000,1855000
"WYOMING",290000,291000,293000,290000,293000,307000,312000,314000,315000,320000
